destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets
240632,1558,540250605590,365748,2692,125116,1134
239122,1546,509951669312,365188,2698,126066,1152
237612,1534,510145412673,364838,2706,127226,1172
236238,1524,510150926142,361360,2668,125122,1144
235544,1524,509983434219,360738,2672,125194,1148
233758,1512,510204084367,357020,2636,123262,1124
231836,1498,510183265597,355886,2638,124050,1140
230734,1492,510218895157,355536,2646,124802,1154
228948,1480,510349301477,352090,2614,123142,1134
227500,1470,510350848612,347858,2566,120358,1096
225718,1454,510016031539,347780,2578,122062,1124
224068,1444,509907704933,344742,2552,120674,1108
222356,1432,510140493546,340146,2502,117790,1070
221662,1432,510116435409,340476,2520,118814,1088
220152,1420,509952328304,341622,2550,121470,1130
218642,1408,510144743816,340864,2552,122222,1144
217676,1404,510105738356,332762,2446,115086,1042
216166,1392,510207633277,335404,2498,119238,1106
215336,1390,480113998085,332260,2466,116924,1076
213006,1370,480160051608,328678,2432,115672,1062
211628,1364,480086674138,325096,2398,113468,1034
210390,1356,480157487420,323250,2384,112860,1028
209152,1348,480249492941,325212,2426,116060,1078
208050,1342,479962678557,322278,2396,114228,1054
206540,1330,479914250089,319344,2366,112804,1036
204272,1312,480278044065,318000,2366,113728,1054
202350,1298,480217444689,312786,2308,110436,1010
201244,1296,480191520625,313828,2342,112584,1046
199598,1282,480094113244,310894,2312,111296,1030
197750,1268,479995550148,309426,2308,111676,1040
197056,1268,480168208210,306356,2276,109300,1008
195270,1256,479920280815,306582,2298,111312,1042
194032,1248,480330546757,305280,2292,111248,1044
